time  r1 r2  g1 g2
   0  00 00  00 00
   1  01 11  00 11
   4  01 01  00 01
   6  01 11  00 11
   8  01 10  01 10
  10  10 10  00 10
  11  10 01  10 01
  13  10 11  10 01
  14  01 11  00 11
  15  01 00  01 00
  17  01 10  01 10
  19  11 10  01 10
  20  11 01  11 00
  23  00 01  00 01
  24  01 10  01 10
  26  11 10  01 10
  27  11 11  01 10
  43  00 11  00 11
  44  00 00  00 00
  45  11 00  11 00
  46  10 00  10 00
  47  00 00  00 00
  48  01 01  00 01
  54  01 00  01 00
  56  11 00  11 00
  57  10 11  10 01
  59  01 11  00 11
  63  01 00  01 00
  66  01 11  01 10
  68  10 11  00 11
  74  10 01  10 01
  75  10 11  10 01
  76  00 11  00 11
  81  11 11  00 11
  82  11 01  10 01
  83  11 11  10 01
